Epoch: 177	Train_Loss: 131.2998809814453	 Test_Loss: 127.7248306274414
Epoch: 178	Train_Loss: 130.08311462402344	 Test_Loss: 127.24954986572266
Epoch: 179	Train_Loss: 132.2695770263672	 Test_Loss: 130.88156127929688
Epoch: 180	Train_Loss: 130.60011291503906	 Test_Loss: 128.94114685058594
Epoch: 181	Train_Loss: 130.68588256835938	 Test_Loss: 130.80979919433594
Epoch: 182	Train_Loss: 130.72842407226562	 Test_Loss: 126.7505111694336
Epoch: 183	Train_Loss: 129.8892364501953	 Test_Loss: 128.67697143554688
Epoch: 184	Train_Loss: 129.22613525390625	 Test_Loss: 127.91577911376953
Epoch: 185	Train_Loss: 129.3702392578125	 Test_Loss: 126.66541290283203
Epoch: 186	Train_Loss: 129.6944580078125	 Test_Loss: 128.47024536132812
Epoch: 187	Train_Loss: 128.62286376953125	 Test_Loss: 126.51280212402344
Epoch: 188	Train_Loss: 129.9833526611328	 Test_Loss: 150.50274658203125
Epoch: 189	Train_Loss: 128.72103881835938	 Test_Loss: 133.00515747070312
Epoch: 190	Train_Loss: 128.45584106445312	 Test_Loss: 125.90457916259766
Epoch: 191	Train_Loss: 128.1314697265625	 Test_Loss: 126.72288513183594
Epoch: 192	Train_Loss: 129.03269958496094	 Test_Loss: 125.69133758544922
Epoch: 193	Train_Loss: 127.67670440673828	 Test_Loss: 124.85597229003906
Epoch: 194	Train_Loss: 127.84921264648438	 Test_Loss: 125.69877624511719
Epoch: 195	Train_Loss: 127.11854553222656	 Test_Loss: 125.15160369873047
Epoch: 196	Train_Loss: 127.40625	 Test_Loss: 124.44489288330078
Epoch: 197	Train_Loss: 127.03263092041016	 Test_Loss: 124.44808197021484
Epoch: 198	Train_Loss: 127.55370330810547	 Test_Loss: 124.96184539794922
Epoch: 199	Train_Loss: 126.6084213256836	 Test_Loss: 124.90447998046875
Epoch: 200	Train_Loss: 126.77565002441406	 Test_Loss: 123.82618713378906
Epoch: 201	Train_Loss: 127.23413848876953	 Test_Loss: 125.9112548828125
Epoch: 202	Train_Loss: 127.74198913574219	 Test_Loss: 125.49552917480469
Epoch: 203	Train_Loss: 126.79771423339844	 Test_Loss: 124.4581298828125
Epoch: 204	Train_Loss: 126.21775817871094	 Test_Loss: 123.28765106201172
Epoch: 205	Train_Loss: 126.3550033569336	 Test_Loss: 124.81201171875
Epoch: 206	Train_Loss: 125.78071594238281	 Test_Loss: 124.65082550048828
Epoch: 207	Train_Loss: 125.59634399414062	 Test_Loss: 123.52177429199219
Epoch: 208	Train_Loss: 125.56607055664062	 Test_Loss: 125.68297576904297
Epoch: 209	Train_Loss: 125.2679443359375	 Test_Loss: 122.54601287841797
Epoch: 210	Train_Loss: 125.15703582763672	 Test_Loss: 123.47647857666016
Epoch: 211	Train_Loss: 125.27838134765625	 Test_Loss: 125.2309799194336
Epoch: 212	Train_Loss: 126.25325775146484	 Test_Loss: 124.9803466796875
Epoch: 213	Train_Loss: 124.13862609863281	 Test_Loss: 127.89480590820312
Epoch: 214	Train_Loss: 125.01924133300781	 Test_Loss: 124.06683349609375
Epoch: 215	Train_Loss: 125.20194244384766	 Test_Loss: 124.0871353149414
Epoch: 216	Train_Loss: 123.958984375	 Test_Loss: 122.61967468261719
Epoch: 217	Train_Loss: 124.49695587158203	 Test_Loss: 123.21414184570312
Epoch: 218	Train_Loss: 124.46837615966797	 Test_Loss: 121.743896484375
Epoch: 219	Train_Loss: 123.85099029541016	 Test_Loss: 122.78446197509766
Epoch: 220	Train_Loss: 124.80496978759766	 Test_Loss: 124.1125259399414
Epoch: 221	Train_Loss: 124.20468139648438	 Test_Loss: 123.528076171875
Epoch: 222	Train_Loss: 124.56116485595703	 Test_Loss: 122.59516143798828
Epoch: 223	Train_Loss: 124.61072540283203	 Test_Loss: 123.34483337402344
Epoch: 224	Train_Loss: 124.00318908691406	 Test_Loss: 121.83110046386719
Epoch: 225	Train_Loss: 124.01033020019531	 Test_Loss: 125.41462707519531
Epoch: 226	Train_Loss: 124.18624877929688	 Test_Loss: 122.6618423461914
Epoch: 227	Train_Loss: 123.26348876953125	 Test_Loss: 123.39915466308594
Epoch: 228	Train_Loss: 123.22503662109375	 Test_Loss: 121.48777770996094
Epoch: 229	Train_Loss: 123.7142562866211	 Test_Loss: 121.8067398071289
Epoch: 230	Train_Loss: 123.50791931152344	 Test_Loss: 128.42127990722656
Epoch: 231	Train_Loss: 123.2530746459961	 Test_Loss: 122.32660675048828
Epoch: 232	Train_Loss: 123.62586975097656	 Test_Loss: 128.33090209960938
Epoch: 233	Train_Loss: 123.10913848876953	 Test_Loss: 120.39826965332031
Epoch: 234	Train_Loss: 123.07994842529297	 Test_Loss: 121.26824188232422
Epoch: 235	Train_Loss: 122.86151123046875	 Test_Loss: 122.68600463867188
Epoch: 236	Train_Loss: 121.78193664550781	 Test_Loss: 123.32048797607422
Epoch: 237	Train_Loss: 122.40015411376953	 Test_Loss: 120.7386245727539
Epoch: 238	Train_Loss: 122.43726348876953	 Test_Loss: 126.58733367919922
Epoch: 239	Train_Loss: 122.697265625	 Test_Loss: 123.30186462402344
Epoch: 240	Train_Loss: 122.32576751708984	 Test_Loss: 122.52559661865234
Epoch: 241	Train_Loss: 122.55510711669922	 Test_Loss: 123.61822509765625
Epoch: 242	Train_Loss: 122.0722885131836	 Test_Loss: 122.92628479003906
Epoch: 243	Train_Loss: 123.20957946777344	 Test_Loss: 122.09263610839844
Epoch: 244	Train_Loss: 122.66617584228516	 Test_Loss: 119.44730377197266
Epoch: 245	Train_Loss: 121.44810485839844	 Test_Loss: 120.35529327392578
Epoch: 246	Train_Loss: 121.93889617919922	 Test_Loss: 121.00688934326172
Epoch: 247	Train_Loss: 123.2847671508789	 Test_Loss: 124.33549499511719
Epoch: 248	Train_Loss: 121.43107604980469	 Test_Loss: 120.2582778930664
Epoch: 249	Train_Loss: 121.44112396240234	 Test_Loss: 120.19334411621094
Epoch: 250	Train_Loss: 121.22428131103516	 Test_Loss: 121.39083099365234
